iter	Passed	Remaining
0	135	135472
1	139	69644
2	143	47755
3	149	37154
4	153	30632
5	159	26370
6	164	23358
7	169	20975
8	173	19148
9	178	17675
10	182	16426
11	186	15388
12	191	14547
13	196	13808
14	200	13196
15	206	12681
16	212	12266
17	219	11983
18	226	11713
19	233	11422
20	238	11134
21	244	10864
22	250	10624
23	256	10419
24	262	10222
25	267	10005
26	273	9838
27	277	9648
28	282	9464
29	288	9338
30	293	9164
31	298	9025
32	304	8937
33	309	8788
34	313	8656
35	319	8548
36	324	8441
37	328	8327
38	334	8233
39	340	8163
40	344	8066
41	349	7975
42	355	7918
43	360	7831
44	366	7781
45	371	7706
46	375	7620
47	380	7550
48	386	7502
49	390	7424
50	395	7352
51	400	7304
52	406	7257
53	410	7190
54	415	7141
55	421	7101
56	426	7050
57	431	7006
58	435	6952
59	440	6898
60	444	6847
61	450	6813
62	455	6769
63	459	6718
64	464	6684
65	469	6642
66	473	6598
67	479	6566
68	484	6539
69	489	6504
70	494	6472
71	499	6433
72	503	6395
73	507	6356
74	512	6317
75	516	6281
76	521	6246
77	525	6211
78	530	6178
79	534	6148
80	539	6117
81	543	6083
82	548	6056
83	552	6023
84	557	5996
85	561	5967
86	566	5940
87	570	5912
88	575	5887
89	579	5862
90	584	5836
91	588	5811
92	593	5787
93	598	5766
94	602	5744
95	607	5718
96	612	5699
97	616	5673
98	620	5647
99	624	5624
100	629	5604
101	634	5589
102	639	5569
103	644	5552
104	648	5529
105	653	5514
106	658	5495
107	663	5476
108	667	5457
109	673	5448
110	679	5438
111	684	5423
112	690	5418
113	695	5402
114	699	5382
115	704	5366
116	709	5352
117	715	5349
118	720	5331
119	724	5313
120	729	5297
121	733	5280
122	739	5270
123	744	5261
124	749	5248
125	755	5239
126	760	5227
127	765	5213
128	770	5201
129	775	5188
130	780	5175
131	784	5158
132	789	5145
133	794	5132
134	798	5118
135	804	5109
136	809	5099
137	814	5088
138	819	5076
139	824	5066
140	829	5055
141	834	5043
142	840	5035
143	845	5024
144	850	5014
145	855	5006
146	861	4996
147	866	4988
148	871	4976
149	875	4962
150	880	4949
151	885	4941
152	891	4932
153	895	4922
154	900	4910
155	905	4898
156	909	4885
157	914	4874
158	919	4865
159	925	4858
160	930	4849
161	935	4837
162	939	4825
163	944	4816
