DEPT,TCMR,BVI,FFI,T2lm_BVI,T2lm_FFI,Permeability,Permeability_Core
3800,0.137632837,0.134104901,0.003527936,1.223654487,81.77455244,0.003968009,
3800.625,0.138797046,0.137225343,0.001571702,1.25319432,173.7083135,0.004445654,
3801.25,0.162632843,0.161115924,0.001516918,1.280817335,132.8249893,0.008631536,
3801.875,0.179689878,0.178371306,0.001318572,1.271069694,219.3876539,0.012868219,
3802.5,0.186564825,0.185601469,0.000963356,1.275524564,168.6877332,0.015136362,
3803.125,0.184279396,0.183298688,0.000980707,1.238856569,243.5833092,0.01398542,
3803.75,0.192109964,0.19067748,0.001432484,1.184661177,179.1543204,0.015661352,
3804.375,0.198144889,0.195509092,0.002635796,1.188739211,169.4585085,0.017382045,
3805,0.199233307,0.192606625,0.006626682,1.110596283,58.83218607,0.015350888,
3805.625,0.222526817,0.212133803,0.010393013,1.046341077,69.78023391,0.021757221,
3806.25,0.234702207,0.223089165,0.011613042,1.066388921,80.43662673,0.027590488,
3806.875,0.18558343,0.180513558,0.005069872,1.475356212,1082.787997,0.02341116,
3807.5,0.12391372,0.118461793,0.005451927,1.872853978,471.7475033,0.005654385,
3808.125,0.067433788,0.060188046,0.007245742,3.631878218,534.8445593,0.008361349,
3808.75,0.099135114,0.094346565,0.00478855,1.981504299,1228.03194,0.009499307,
3809.375,0.141276597,0.14098178,0.000294816,1.282407807,176.6498108,0.005066153,
3810,0.17226034,0.16982036,0.002439981,1.068638425,96.77758759,0.008891028,
3810.625,0.194054841,0.189603475,0.004451367,0.913606607,49.16811159,0.011816623,
3811.25,0.195604407,0.191355962,0.004248445,0.901515265,30.75389195,0.012090709,
3811.875,0.20802777,0.200921811,0.007105959,0.943801516,48.82992564,0.015441951,
3812.5,0.206469451,0.201683143,0.004786307,1.016936526,77.33217718,0.016857051,
3813.125,0.180398904,0.180049783,0.000349121,1.07203663,26.39164063,0.011266267,
3813.75,0.174107938,0.173519211,0.000588726,0.973495144,43.21338479,0.008825192,
3814.375,0.207477058,0.205315231,0.002161827,0.859957849,75.23367436,0.01528259,
3815,0.236851514,0.234003016,0.002848498,0.854812088,44.35810928,0.02563176,
3815.625,0.238217278,0.238568,0,0.895276586,1.222532119,0.029000534,
3816.25,0.227398576,0.228156896,0,0.867322692,1.108113465,0.023502557,
3816.875,0.198899711,0.199265398,0,0.877062012,1.101266739,0.013827952,
3817.5,0.164534568,0.165054319,0,1.082287695,2.425386155,0.008032492,
3818.125,0.134718129,0.134368341,0.000349788,1.245309173,99.4546315,0.004059431,
3818.75,0.125181562,0.124748793,0.000432768,1.29698986,107.3151823,0.003141106,
3819.375,0.121761491,0.122011384,0,1.179330152,3.391376685,0.002613586,
3820,0.113906617,0.1142511,0,1.233217164,3.01207399,0.002101266,
3820.625,0.106068146,0.106236828,0,1.454425889,5.099194471,0.001852644,
3821.25,0.09639686,0.096616955,0,2.221993947,12.680226,0.001936227,
3821.875,0.093279957,0.072270325,0.021009632,1.424310353,57.01621474,0.006722438,
3822.5,0.089983742,0.067365899,0.022617842,1.441374107,60.52862961,0.009884813,
3823.125,0.106636575,0.071597743,0.035038832,1.726009918,55.5387166,0.046946843,
3823.75,0.132417286,0.068737247,0.063680039,2.715184772,60.05324489,0.593649203,
3824.375,0.165013806,0.070513479,0.094500327,4.723972942,67.85236134,3.672833997,
3825,0.185230433,0.107025093,0.07820534,10.40599431,78.78071636,2.33524277,
3825.625,0.178089372,0.121453378,0.056635993,17.32671993,95.04702445,0.967196345,
3826.25,0.175305474,0.068885503,0.106419972,12.42773374,68.15916233,5.961354647,
3826.875,0.171772895,0.05742745,0.114345445,14.27594374,64.03327935,7.01105147,
3827.5,0.179022485,0.112725872,0.066296613,23.3163448,68.11110745,0.93384152,
3828.125,0.185508825,0.090116122,0.095392703,14.38628868,59.29305482,2.920662351,
3828.75,0.190176685,0.15105982,0.039116865,20.94750968,69.6180375,0.222550636,
3829.375,0.176275586,0.132449007,0.043826579,23.71285588,75.30650526,0.282201591,
3830,0.158118078,0.114015938,0.04410214,31.09201004,81.58646476,0.304353648,
3830.625,0.147930281,0.024359136,0.123571146,9.730629253,57.35247913,7.669633686,
3831.25,0.135381046,0.025082045,0.110299001,3.401832136,60.88834203,5.487261762,
3831.875,0.130615143,0.042959948,0.087655195,1.50813372,62.83347995,2.330786245,
3832.5,0.129511791,0.065531094,0.063980697,1.141711859,63.60878595,0.678211162,
3833.125,0.139141687,0.123536634,0.015605053,3.213657782,57.55883818,0.009449492,
3833.75,0.140878429,0.140738134,0.000140295,3.000503605,48.36797729,0.011771757,
3834.375,0.122250377,0.122541782,0,2.214112636,6.653085422,0.004992712,
3835,0.12165956,0.121935784,0,2.178647509,5.625741614,0.004816279,
3835.625,0.107159188,0.107308559,0,2.245204915,4.992314142,0.0029771,
3836.25,0.102795906,0.102939629,0,2.145388623,4.455360803,0.002408998,
3836.875,0.102409103,0.102531052,0,1.792790567,4.093977017,0.001981304,
3837.5,0.117428936,0.117759139,0,1.804947818,6.249233362,0.003470908,
3838.125,0.133424927,0.134021699,0,1.848687888,9.789440858,0.005964363,
3838.75,0.138288751,0.119503358,0.018785394,1.200852901,44.18400607,0.004880269,
3839.375,0.129365077,0.111267417,0.018097659,1.350546409,68.45993986,0.007097676,
3840,0.117890161,0.11307202,0.004818141,1.984537382,384.6548327,0.004041364,
3840.625,0.103390114,0.095581611,0.007808503,1.962563777,1561.516433,0.092287301,
3841.25,0.097493341,0.091261152,0.006232188,1.760088019,1601.459896,0.039910502,
3841.875,0.099356996,0.091041222,0.008315774,1.994205523,441.1335886,0.010675744,
3842.5,0.098693105,0.088322135,0.01037097,1.947911445,130.7326404,0.003162529,
3843.125,0.120752963,0.112969965,0.007782998,1.874282676,120.083101,0.003581837,
3843.75,0.140425918,0.140387336,3.85823E-05,2.100903667,16.29808792,0.008160521,
3844.375,0.163396394,0.163133123,0.000263272,2.067848648,67.18157755,0.014644932,
3845,0.167946671,0.166938174,0.001008497,2.624635917,370.8329099,0.02038553,
3845.625,0.158194844,0.154386276,0.003808568,3.374702102,325.2688892,0.019394726,
3846.25,0.159375311,0.147645518,0.011729793,4.647823891,160.9782115,0.026992335,
3846.875,0.161436081,0.145254018,0.016182063,5.811291292,148.9301798,0.041078344,
3847.5,0.181841492,0.166646554,0.015194938,4.720507973,130.9632916,0.045549223,
3848.125,0.201619172,0.191250232,0.01036894,3.075709141,68.33344978,0.041688183,
3848.75,0.205172571,0.201243894,0.003928676,1.926851043,93.77305316,0.031624725,
3849.375,0.186309143,0.186084,0.000225143,1.597157613,74.54954085,0.019150667,
3850,0.147925387,0.130567467,0.01735792,1.04806966,54.47648703,0.005740071,
3850.625,0.129020428,0.103842941,0.025177487,1.118035279,53.17254986,0.012661268,
