iter	Passed	Remaining
0	158	158819
1	162	81058
2	166	55216
3	169	42177
4	172	34324
5	175	29078
6	178	25334
7	181	22490
8	184	20357
9	187	18593
10	191	17199
11	194	16014
12	197	14998
13	200	14129
14	203	13371
15	206	12706
16	210	12171
17	212	11620
18	216	11174
19	219	10741
20	221	10347
21	224	9996
22	227	9682
23	231	9398
24	234	9128
25	236	8875
26	239	8640
27	242	8433
28	246	8247
29	252	8171
30	255	7983
31	258	7833
32	262	7693
33	265	7540
34	268	7391
35	270	7254
36	273	7127
37	276	7011
38	279	6893
39	282	6778
40	285	6666
41	287	6560
42	290	6463
43	293	6375
44	296	6286
45	298	6200
46	301	6115
47	304	6035
48	306	5957
49	309	5883
50	312	5810
51	314	5742
52	317	5674
53	320	5607
54	322	5547
55	325	5489
56	328	5428
57	330	5371
58	333	5318
59	336	5268
60	338	5217
61	342	5179
62	345	5133
63	347	5086
64	350	5041
65	353	4997
66	355	4955
67	358	4913
68	361	4875
69	364	4838
70	366	4799
71	369	4763
72	372	4727
73	374	4692
74	377	4656
75	380	4624
76	383	4593
77	385	4562
78	388	4533
79	391	4499
80	393	4467
81	396	4437
82	399	4410
83	406	4438
84	409	4408
85	411	4378
86	414	4351
87	417	4324
88	419	4296
89	422	4269
90	424	4242
91	427	4215
92	429	4190
93	432	4166
94	434	4141
95	437	4118
96	439	4093
97	442	4070
98	445	4053
99	448	4032
100	450	4010
101	452	3988
102	455	3966
103	457	3944
104	460	3925
105	463	3905
106	465	3886
107	468	3866
108	470	3847
109	473	3827
110	475	3807
111	477	3789
112	480	3769
113	482	3751
114	485	3735
115	487	3718
116	490	3702
117	492	3684
118	495	3669
119	498	3653
120	500	3638
121	503	3622
122	505	3607
123	508	3592
124	511	3578
125	514	3565
126	516	3552
127	519	3539
128	522	3524
129	524	3511
130	527	3497
131	529	3484
132	532	3471
133	534	3457
134	537	3443
135	540	3430
136	542	3417
137	545	3405
138	547	3392
139	550	3381
140	552	3368
141	555	3357
142	558	3347
143	561	3336
144	564	3328
145	567	3318
146	570	3309
147	572	3297
148	575	3285
149	577	3273
150	580	3261
151	582	3249
152	584	3237
153	587	3227
154	590	3217
155	592	3207
156	595	3197
157	598	3187
158	600	3176
159	603	3165
160	605	3155
161	607	3145
162	610	3134
163	612	3124
164	615	3114
165	617	3104
166	620	3095
167	623	3085
168	625	3076
169	628	3066
170	630	3056
171	632	3046
172	635	3037
173	638	3028
174	640	3019
175	641	3004
176	644	2995
177	646	2987
178	649	2977
179	651	2969
180	654	2961
181	656	2952
182	659	2944
183	661	2935
184	664	2927
185	666	2918
186	669	2909
187	671	2901
188	674	2893
189	676	2884
190	679	2877
191	681	2869
192	684	2861
193	687	2854
194	689	2846
195	692	2839
196	694	2832
197	697	2826
198	700	2819
199	703	2813
200	706	2807
201	708	2799
202	711	2792
203	713	2785
204	716	2778
205	718	2771
206	721	2764
207	723	2756
208	726	2748
209	728	2741
210	731	2735
211	733	2728
212	736	2720
213	738	2713
214	741	2706
215	743	2698
216	746	2692
217	748	2685
218	751	2678
219	753	2671
220	756	2664
221	758	2657
222	760	2651
223	763	2644
224	765	2637
225	767	2628
226	770	2622
227	772	2615
228	775	2610
229	777	2603
230	780	2597
231	782	2591
232	785	2584
233	787	2578
234	790	2571
235	792	2565
236	794	2558
237	797	2553
238	799	2546
239	802	2540
240	804	2533
241	807	2528
242	809	2522
243	812	2516
244	814	2509
245	816	2503
246	819	2498
247	821	2492
248	824	2486
249	827	2481
250	830	2477
251	832	2472
252	835	2466
253	837	2461
254	840	2455
255	843	2450
256	845	2445
257	848	2439
258	850	2434
259	853	2429
260	856	2424
261	858	2419
262	861	2414
263	864	2409
264	866	2403
265	869	2398
266	871	2393
267	874	2388
268	877	2383
269	879	2378
270	881	2372
271	884	2367
272	886	2361
273	889	2356
274	891	2351
275	894	2346
276	897	2341
277	899	2336
278	902	2331
279	904	2326
280	907	2321
281	909	2316
282	912	2311
283	914	2306
284	917	2302
285	920	2297
286	923	2293
287	925	2288
288	928	2283
289	930	2278
290	933	2273
291	935	2268
292	938	2263
293	940	2259
294	943	2254
295	945	2249
296	948	2244
297	950	2239
298	953	2234
299	955	2230
300	958	2225
301	960	2220
302	963	2215
303	965	2211
304	968	2207
305	971	2202
306	973	2197
307	976	2193
308	978	2188
309	981	2183
310	983	2179
311	986	2174
312	989	2170
313	991	2166
314	994	2162
315	997	2158
316	999	2153
317	1002	2149
318	1005	2145
319	1007	2141
320	1010	2137
321	1012	2132
322	1015	2128
323	1018	2124
324	1020	2120
325	1023	2115
326	1026	2112
327	1028	2107
328	1031	2103
329	1034	2099
330	1036	2095
331	1039	2091
332	1042	2087
333	1044	2083
334	1047	2079
335	1050	2075
336	1052	2071
337	1055	2066
338	1057	2062
339	1060	2058
340	1063	2054
341	1065	2050
342	1068	2046
343	1071	2042
