DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
401,8.08,-0.125,-999.25,71.94,0.606,-999.25,0.438,31.87,1950,-999.25,,,
401.5,8.07,-0.125,-999.25,60.97,0.572,-999.25,0.414,27.58,1950,-999.25,,,
402,8.07,-0.118,-999.25,76.09,0.703,-999.25,0.504,30.46,1950,-999.25,,,
402.5,8.08,-0.111,-999.25,73.07,0.615,-999.25,0.442,31.14,1950,-999.25,,,
403,8.09,-0.112,-999.25,69.67,0.658,-999.25,0.472,28.94,1950,-999.25,,,
403.5,8.09,-0.118,-999.25,71.94,0.581,-999.25,0.419,31.2,1950,-999.25,,,
404,8.09,-0.125,-999.25,72.69,0.567,-999.25,0.411,30.3,1950,-999.25,,,
404.5,8.09,-0.12,-999.25,77.23,0.591,-999.25,0.426,28.72,1950,-999.25,,,
405,8.09,-0.126,-999.25,71.08,0.644,-999.25,0.464,27.37,1950,-999.25,,,
405.5,8.07,-0.125,-999.25,75.72,0.585,-999.25,0.423,26.86,1950,-999.25,,,
406,8.08,-0.136,-999.25,74.96,0.668,-999.25,0.482,23.91,1950,-999.25,,,
406.5,8.07,-0.136,-999.25,77.23,0.702,-999.25,0.506,18.86,1950,-999.25,,,
407,8.09,-0.142,-999.25,76.25,0.655,-999.25,0.474,17.56,1950,-999.25,,,
407.5,8.09,-0.138,-999.25,64.56,0.505,-999.25,0.37,15.56,1950,-999.25,,,
408,8.09,-0.137,-999.25,70.8,0.545,-999.25,0.397,14.13,1950,-999.25,,,
408.5,8.07,-0.12,-999.25,72.31,0.577,-999.25,0.417,11.08,1950,-999.25,,,
409,8.08,-0.119,-999.25,83.28,0.535,-999.25,0.388,8.3,1950,-999.25,,,
409.5,8.08,-0.121,-999.25,76.09,0.604,-999.25,0.436,5.47,1950,-999.25,,,
410,8.08,-0.137,-999.25,76.09,0.622,-999.25,0.45,4.4,1950,-999.25,,,
410.5,8.09,-0.141,-999.25,68.63,0.616,-999.25,0.447,3.84,1950,-999.25,,,
411,8.08,-0.139,-999.25,63.62,0.601,-999.25,0.436,3.37,1950,-999.25,,,
411.5,8.07,-0.136,-999.25,70.8,0.569,-999.25,0.414,3,1950,-999.25,,,
412,8.08,-0.132,-999.25,76.09,0.639,-999.25,0.461,2.69,1950,-999.25,,,
412.5,8.07,-0.132,-999.25,63.81,0.692,-999.25,0.498,2.41,1164.798,-999.25,,,
413,8.07,-0.131,-999.25,76.47,0.648,-999.25,0.467,2.5,105.296,-999.25,,,
413.5,8.07,-0.138,-999.25,69.67,0.626,-999.25,0.453,3.08,31.109,-999.25,,,
414,8.06,-0.183,-999.25,66.64,0.547,-999.25,0.408,3.13,11.953,-999.25,,,
414.5,8.07,-0.2,-999.25,65.23,0.58,-999.25,0.434,5.61,5.46,-999.25,,,
415,8.06,-0.2,-999.25,69.67,0.539,-999.25,0.407,3.9,2.913,-999.25,,,
415.5,8.07,-0.2,-999.25,46.14,0.526,-999.25,0.398,5.99,1.761,-999.25,,,
416,8,-0.082,-999.25,57.57,0.644,-999.25,0.459,4.56,1.182,-999.25,,,
416.5,8.02,0.232,-999.25,84.79,0.764,-999.25,0.565,3.43,0.788,-999.25,2.77,,
417,7.96,0.37,-999.25,101.04,0.439,-999.25,0.406,3.78,0.615,-999.25,16.33,,
417.5,7.97,0.414,-999.25,110.11,0.427,-999.25,0.421,4.19,0.841,-999.25,26.88,,
418,8,0.421,-999.25,90.08,0.418,-999.25,0.42,4.31,0.839,-999.25,34.33,,
418.5,8,0.439,-999.25,98.02,0.4,-999.25,0.42,3.33,0.935,-999.25,37.23,,
419,8.66,0.445,-999.25,98.02,0.383,-999.25,0.415,3.54,0.76,-999.25,37.54,,
419.5,10.51,0.407,-999.25,84.41,0.471,-999.25,0.44,3.92,0.658,-999.25,31.25,,
420,11.82,0.367,-999.25,87.81,0.629,-999.25,0.515,3.42,0.66,-999.25,27.33,,
420.5,12.47,0.345,-999.25,75.34,0.678,-999.25,0.538,6.39,0.681,-999.25,29.61,,
421,13.37,0.377,-999.25,73.92,0.931,-999.25,0.71,7.61,0.724,-999.25,31.84,,
421.5,13.62,0.445,-999.25,88.95,0.688,-999.25,0.579,9.75,0.794,-999.25,34,,
422,12.07,0.491,-999.25,95.37,0.537,-999.25,0.515,56.2,0.894,-999.25,35.98,,
422.5,11.08,0.471,-999.25,93.48,0.517,-999.25,0.495,48.66,1.033,-999.25,38.08,,
423,8.01,0.388,-999.25,114.27,0.411,-999.25,0.4,25.84,1.232,-999.25,40.51,,
423.5,7.99,0.327,-999.25,108.98,0.412,-999.25,0.372,11.35,1.357,-999.25,42.42,,
424,7.97,0.304,-999.25,106.33,0.429,-999.25,0.372,5.09,1.27,-999.25,43.96,,
424.5,7.97,0.308,-999.25,101.42,0.389,-999.25,0.351,3.59,1.342,-999.25,45.31,,
425,8.01,0.309,-999.25,106.71,0.405,-999.25,0.36,2.89,1.473,-999.25,46.87,,
425.5,8.02,0.308,-999.25,91.21,0.421,-999.25,0.369,2.8,1.556,-999.25,47.75,,
426,8.02,0.306,-999.25,112.38,0.425,-999.25,0.37,2.89,1.619,-999.25,48.71,,
426.5,8.06,0.305,-999.25,104.82,0.419,-999.25,0.366,3.27,1.703,-999.25,49.54,,
427,8.06,0.303,-999.25,91.69,0.367,-999.25,0.337,3.9,1.78,-999.25,50.31,,
427.5,8.07,0.301,-999.25,108.98,0.38,-999.25,0.343,4.74,1.834,-999.25,50.9,,
428,8.09,0.298,-999.25,108.22,0.429,-999.25,0.369,5.78,1.852,-999.25,51.58,,
428.5,8.04,0.301,-999.25,99.91,0.406,-999.25,0.357,5.8,1.816,-999.25,51.99,,
429,8.03,0.303,-999.25,110.11,0.388,-999.25,0.348,5.8,1.843,-999.25,52.5,,
429.5,8.03,0.305,-999.25,100.57,0.4,-999.25,0.356,5.68,1.835,-999.25,52.5,,
430,8,0.3,-999.25,100.66,0.406,-999.25,0.357,5.62,1.854,-999.25,52.97,,
430.5,8.03,0.299,-999.25,115.03,0.446,-999.25,0.38,5.74,1.882,-999.25,53,,
431,8.02,0.299,-999.25,122.21,0.391,-999.25,0.348,5.48,1.893,-999.25,53.2,,
431.5,8.05,0.301,-999.25,104.82,0.398,-999.25,0.353,5.7,1.907,-999.25,53.24,,
432,8.02,0.299,-999.25,106.33,0.413,-999.25,0.361,5.7,1.891,-999.25,52.77,,
432.5,8.02,0.298,-999.25,95.37,0.392,-999.25,0.348,5.67,1.881,-999.25,52.15,,
433,8.06,0.297,-999.25,103.78,0.328,-999.25,0.313,5.56,1.859,-999.25,51.67,,
433.5,8.07,0.299,-999.25,104.07,0.358,-999.25,0.33,5.53,1.833,-999.25,51.13,,
434,8.07,0.302,-999.25,115.41,0.409,-999.25,0.36,5.65,1.819,-999.25,50.63,,
434.5,8.08,0.306,-999.25,113.52,0.394,-999.25,0.353,5.81,1.807,-999.25,50.5,,
435,8.07,0.306,-999.25,104.07,0.388,-999.25,0.349,5.88,1.801,-999.25,50.47,,
435.5,8.09,0.303,-999.25,110.87,0.406,-999.25,0.358,5.94,1.799,-999.25,50.35,,
436,8.09,0.301,-999.25,108.98,0.38,-999.25,0.343,6.04,1.804,-999.25,50.27,,
436.5,8.1,0.298,-999.25,103.31,0.388,-999.25,0.346,6.15,1.811,-999.25,50.37,,
437,8.11,0.294,-999.25,105.96,0.399,-999.25,0.35,6.21,1.819,-999.25,50.23,,
437.5,8.09,0.293,-999.25,110.59,0.379,-999.25,0.339,6.15,1.803,-999.25,50.16,,
438,8.09,0.295,-999.25,110.49,0.365,-999.25,0.332,6.15,1.793,-999.25,50.2,,
438.5,8.17,0.299,-999.25,97.26,0.376,-999.25,0.34,6.19,1.796,-999.25,50.59,,
439,8.17,0.294,-999.25,115.78,0.429,-999.25,0.368,6.26,1.811,-999.25,50.71,,
439.5,8.16,0.291,-999.25,112.01,0.403,-999.25,0.351,6.31,1.816,-999.25,50.9,,
440,8.15,0.29,-999.25,105.48,0.375,-999.25,0.335,6.32,1.811,-999.25,51.25,,
440.5,8.13,0.295,-999.25,116.16,0.393,-999.25,0.347,6.41,1.815,-999.25,51.67,,
441,8.11,0.295,-999.25,109.36,0.371,-999.25,0.335,6.45,1.815,-999.25,52.11,,
441.5,8.11,0.294,-999.25,115.41,0.435,-999.25,0.371,6.43,1.815,-999.25,52.42,,
442,8.11,0.294,-999.25,114.84,0.411,-999.25,0.357,6.24,1.789,-999.25,52.62,,
442.5,8.12,0.296,-999.25,120.7,0.395,-999.25,0.349,6.07,1.771,-999.25,52.89,,
443,8.11,0.299,-999.25,101.8,0.369,-999.25,0.336,6.05,1.761,-999.25,53.09,,
443.5,8.13,0.299,-999.25,123.34,0.382,-999.25,0.343,6.07,1.738,-999.25,53.09,,
444,8.11,0.301,-999.25,101.51,0.39,-999.25,0.348,6.08,1.73,-999.25,52.75,,
444.5,8.08,0.298,-999.25,105.2,0.352,-999.25,0.326,6.33,1.723,-999.25,52.5,,
445,8.07,0.298,-999.25,105.58,0.377,-999.25,0.34,6.51,1.713,-999.25,52.08,,
445.5,8.04,0.297,-999.25,106.71,0.405,-999.25,0.355,6.76,1.702,-999.25,51.76,,
446,8.09,0.3,-999.25,110.49,0.403,-999.25,0.355,6.97,1.683,-999.25,51.87,,
446.5,8.09,0.297,-999.25,106.33,0.416,-999.25,0.361,6.68,1.657,-999.25,51.84,,
447,8.11,0.293,-999.25,96.51,0.421,-999.25,0.363,6.29,1.621,-999.25,52.17,,
447.5,8.12,0.292,-999.25,115.41,0.405,-999.25,0.353,6.23,1.612,-999.25,52.73,,
448,8.14,0.296,-999.25,100.29,0.41,-999.25,0.358,7.27,1.655,-999.25,53.13,,
448.5,8.18,0.299,-999.25,108.6,0.419,-999.25,0.364,8.41,1.696,-999.25,53.71,,
449,8.27,0.3,-999.25,113.42,0.385,-999.25,0.345,8.88,1.701,-999.25,54.04,,
449.5,8.48,0.297,-999.25,114.27,0.41,-999.25,0.358,8.72,1.76,-999.25,54.57,,
450,8.09,0.296,-999.25,105.96,0.399,-999.25,0.351,8.12,1.775,-999.25,55.51,,
450.5,8.02,0.295,-999.25,104.16,0.363,-999.25,0.331,6.32,1.66,-999.25,56.75,,
451,8.02,0.287,-999.25,104.07,0.364,-999.25,0.328,6.15,1.648,-999.25,58.28,,
451.5,7.98,0.27,-999.25,107.85,0.359,-999.25,0.318,7.72,1.827,-999.25,58.36,,
452,7.93,0.258,-999.25,92.73,0.297,-999.25,0.278,10.76,2.05,-999.25,58.75,,
452.5,7.9,0.26,-999.25,92.54,0.293,-999.25,0.277,8.65,1.966,-999.25,58.83,,
