DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N,K_CORE_AIR,K_CORE_BRINE
3500,12.3,125.444,100.403,1.59,60,0.251,2.397,2.87,0.183,0.304,109.44,235.19,0.161,2.74,8.261,,,,,
3500.5,12.28,128.763,105.407,1.56,59.922,0.253,2.4,2.88,0.181,0.308,108.92,235.94,0.158,2.745,8.055,,,,,
3501,12.27,134.72,112.834,1.51,60,0.252,2.399,2.86,0.182,0.307,109.2,236.01,0.169,2.75,7.857,,,,,
3501.5,12.28,145.062,122.663,1.55,59.844,0.25,2.39,2.85,0.187,0.299,109.48,234.2,0.177,2.751,7.771,,,,,
3502,12.26,152.886,126.969,1.6,60,0.253,2.383,2.84,0.191,0.303,109.72,233.41,0.177,2.747,7.868,,,,,
3502.5,12.28,157.57,130.41,1.6,60,0.253,2.377,2.85,0.195,0.3,109.36,234.28,0.174,2.741,7.992,,,,,
3503,12.27,148.408,118.858,1.51,60,0.251,2.374,2.85,0.197,0.296,108.15,237.9,0.169,2.741,8.158,,,,,
3503.5,12.27,136.416,107.379,1.66,60.313,0.255,2.38,2.83,0.193,0.305,106.07,233.6,0.165,2.739,8.351,,,,,
3504,12.27,122.297,98.254,2,60.625,0.244,2.388,2.84,0.188,0.289,104.73,228.47,0.158,2.743,8.482,,,,,
3504.5,12.27,117.688,93.274,2.22,60.625,0.246,2.396,2.9,0.184,0.295,103.77,215.79,0.15,2.744,8.5,,,,,
3505,12.28,114.575,85.794,2.28,60.625,0.231,2.404,2.99,0.179,0.274,102.87,213.37,0.148,2.742,8.291,,,,,
3505.5,12.27,114.139,84.546,2.34,60.625,0.234,2.414,3.05,0.173,0.282,103.68,212.57,0.151,2.737,7.992,,,,,
3506,12.26,116.399,83.832,2.32,60.625,0.232,2.413,3.06,0.174,0.279,103.14,208.26,0.15,2.732,7.699,,,,,
3506.5,12.27,118.971,87.089,2.25,61.211,0.24,2.397,3.01,0.183,0.286,104.22,210.57,0.146,2.727,7.66,,,,,
3507,12.26,121.678,88.75,2.16,61.25,0.251,2.38,2.96,0.193,0.298,104.23,211.41,0.143,2.72,7.841,,,,,
3507.5,12.27,121.607,88.959,2.15,61.484,0.246,2.382,2.91,0.192,0.29,103.78,212.72,0.146,2.719,7.993,,,,,
3508,12.27,124.061,88.904,2.16,61.875,0.252,2.386,2.89,0.189,0.302,103.74,213.83,0.155,2.72,7.983,,,,,
3508.5,12.27,124.843,92.079,2.04,61.875,0.238,2.382,2.88,0.192,0.276,103.85,214.13,0.161,2.726,7.929,,,,,
3509,12.28,128.066,95.372,1.96,62.109,0.248,2.373,2.88,0.197,0.291,105.23,215.27,0.165,2.725,7.874,,,,,
3509.5,12.27,130.209,95.29,1.98,61.914,0.252,2.37,2.89,0.199,0.296,105.8,219.35,0.166,2.729,7.848,,,,,
3510,12.27,136.459,96.728,1.83,62.109,0.279,2.374,2.89,0.197,0.342,106.2,223.31,0.16,2.737,7.538,,,,,
3510.5,12.29,136.377,99.211,1.71,61.875,0.284,2.38,2.89,0.193,0.353,105.67,227.23,0.153,2.749,7.27,,,,,
3511,12.34,132.339,96.92,1.85,61.953,0.265,2.387,2.87,0.189,0.324,104.79,224.39,0.146,2.753,7.082,,,,,
3511.5,12.3,126.484,93.396,2.13,62.458,0.241,2.395,2.84,0.184,0.287,103.89,218.86,0.143,2.744,7.347,,,,,
3512,12.3,122.563,86.543,2.24,62.5,0.223,2.396,2.83,0.183,0.257,102.46,214.84,0.144,2.729,7.664,,,,,
3512.5,12.29,119.921,84.619,2.37,62.5,0.223,2.392,2.84,0.186,0.254,101.81,211.87,0.146,2.716,8.049,,,,,
3513,12.28,117.233,81.593,2.5,62.891,0.228,2.392,2.85,0.186,0.263,100.81,208.56,0.149,2.714,8.128,,,,,
3513.5,12.27,116.151,83.383,2.64,63.125,0.225,2.404,2.84,0.179,0.263,100.19,206.25,0.151,2.717,8.17,,,,,
