DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR,K_SDR_PRE
3800.0,0.216,118.37,177.87,0.429,2.85,0.0,1.83,2.341,0.9214,2.9515,6.3093,7.8815,4.7039,17.9779,0.0392,0.0783,0.1267,0.0205,0.0921,0.2672,0.155192717,
3800.5,0.21,118.09,177.43,0.406,2.86,0.323,1.8,2.352,7.095,10.7136,15.5942,74.9774,19.4077,32.3272,1.2488,0.5336,1.1714,0.9929,2.1573,1.6032,0.152460351,2.207059621810913
3801.0,0.198,118.0,170.96,0.398,2.85,0.314,1.72,2.371,7.0428,9.3153,10.1252,53.8536,12.1937,18.9327,1.7555,0.818,1.6199,1.7223,3.4529,1.3739,0.308516288,1.610863447189331
3801.5,0.189,117.67,158.87,0.367,2.85,0.292,1.29,2.387,13.009,9.8815,8.69,23.6741,9.7714,13.1367,3.5173,3.4638,3.2853,5.9638,5.2417,0.6406,0.604758247,0.8439657092094421
3802.0,0.18,117.93,146.24,0.37,2.83,0.291,1.04,2.401,18.0946,12.8157,6.6096,11.9767,7.4857,8.5777,3.3443,5.9197,3.1945,13.6403,6.5628,0.6051,0.945655407,0.7612441182136536
3802.5,0.184,116.43,140.42,0.373,2.83,0.294,1.12,2.396,11.9916,9.0074,5.3902,11.0348,7.7531,10.0572,2.1579,2.9386,1.9315,5.7056,3.9361,0.6758,1.121117561,0.8599241375923157
3803.0,0.186,117.1,142.86,0.394,2.81,0.308,1.15,2.392,10.7501,10.9876,4.9442,11.3017,7.444,10.4073,1.8231,1.9543,1.2985,5.1278,3.8375,1.2952,1.017729352,1.2523064613342285
3803.5,0.189,118.34,144.17,0.371,2.79,0.295,1.11,2.387,16.4353,12.6107,7.6182,17.2841,9.8344,12.9427,3.4006,4.8774,3.1338,11.0161,6.1886,0.6844,1.19669701,0.9091747403144836
3804.0,0.191,119.01,147.79,0.374,2.78,0.297,1.06,2.384,20.3632,15.7946,8.5791,17.5277,10.5979,14.0837,4.0471,6.1549,3.5082,15.4544,7.1012,0.7389,1.430540655,0.9714346528053284
3804.5,0.197,119.5,145.27,0.373,2.79,0.298,1.01,2.374,27.2954,19.5905,11.8958,18.6062,13.1045,18.7194,5.166,8.3077,4.3195,19.1427,7.2245,0.7517,1.721224136,1.0694067478179932
