DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE
101,3.37,0.513,-999.25,157.19,-0.038,9.07,0.364,5.96,1.833,-999.25,-999.25,
101.5,3.39,0.513,-999.25,145.57,-0.038,9.07,0.364,5.96,1.833,-999.25,-999.25,
102,3.37,0.513,-999.25,137.49,-0.038,9.07,0.364,5.96,1.833,-999.25,-999.25,
102.5,3.39,0.513,-999.25,142.04,-0.037,9.07,0.364,5.96,1.833,-999.25,-999.25,
103,3.39,0.513,-999.25,150.13,-0.034,9.07,0.364,5.96,1.833,-999.25,-999.25,
103.5,3.39,0.513,-999.25,149.71,-0.037,9.07,0.364,5.96,1.833,-999.25,-999.25,
104,3.42,0.513,-999.25,148.61,-0.035,9.07,0.364,5.96,1.833,-999.25,-999.25,
104.5,3.42,0.513,-999.25,158.72,-0.038,9.07,0.364,5.96,1.833,-999.25,-999.25,
105,3.39,0.513,-999.25,164.67,-0.034,9.07,0.364,5.96,1.833,-999.25,-999.25,
105.5,3.37,0.513,-999.25,151.11,-0.036,9.07,0.364,5.96,1.833,-999.25,-999.25,
106,3.37,0.513,-999.25,132.41,-0.04,9.07,0.364,5.96,1.833,-999.25,-999.25,
106.5,3.37,0.513,-999.25,137.5,-0.032,9.07,0.363,5.96,1.833,-999.25,-999.25,
107,3.39,0.52,-999.25,151.54,-0.03,9.07,0.368,5.96,1.82,-999.25,-999.25,
107.5,3.39,0.532,-999.25,159.02,-0.036,9.08,0.377,5.96,1.801,-999.25,-999.25,
108,3.39,0.539,-999.25,156.57,-0.038,9.09,0.382,5.96,1.788,-999.25,-999.25,
108.5,3.37,0.532,-999.25,149.02,-0.034,9.1,0.377,5.96,1.8,-999.25,-999.25,
109,3.39,0.523,-999.25,152.14,-0.038,9.09,0.371,5.96,1.815,-999.25,-999.25,
109.5,3.37,0.524,-999.25,156.12,-0.03,9.14,0.371,5.96,1.814,-999.25,-999.25,
110,3.37,0.532,-999.25,159.75,-0.034,9.16,0.377,5.96,1.8,-999.25,-999.25,
110.5,3.39,0.532,-999.25,161.39,-0.04,9.2,0.377,5.96,1.8,-999.25,-999.25,
111,3.39,0.531,-999.25,165,-0.039,9.21,0.376,5.96,1.802,-999.25,-999.25,
111.5,3.37,0.537,-999.25,165.5,-0.031,9.25,0.38,5.96,1.792,-999.25,-999.25,
112,3.37,0.538,-999.25,163.79,-0.034,9.25,0.381,5.96,1.79,-999.25,-999.25,
112.5,3.37,0.536,-999.25,153.68,-0.04,9.25,0.38,5.96,1.793,-999.25,-999.25,
113,3.39,0.524,-999.25,143.45,-0.036,9.23,0.371,5.96,1.815,-999.25,-999.25,
113.5,3.39,0.533,-999.25,135.31,-0.033,9.24,0.378,5.96,1.799,-999.25,-999.25,
114,3.42,0.539,-999.25,140.36,-0.034,9.22,0.382,5.96,1.788,-999.25,-999.25,
114.5,3.39,0.55,-999.25,149.07,-0.037,9.2,0.393,5.96,1.761,-999.25,-999.25,
115,3.39,0.55,-999.25,150.13,-0.033,9.29,0.4,5.96,1.745,-999.25,-999.25,
115.5,3.37,0.55,-999.25,156.2,-0.029,9.55,0.41,5.96,1.719,-999.25,-999.25,
116,3.37,0.55,-999.25,159.64,-0.036,9.8,0.421,5.96,1.693,-999.25,-999.25,
116.5,3.39,0.55,-999.25,161.14,-0.035,9.84,0.425,5.96,1.684,-999.25,-999.25,
117,3.42,0.55,-999.25,167.22,-0.037,9.52,0.412,5.96,1.715,-999.25,-999.25,
117.5,3.39,0.55,-999.25,164.28,-0.035,9.22,0.397,5.96,1.752,-999.25,-999.25,
118,3.37,0.547,-999.25,158.16,-0.034,9.04,0.388,5.96,1.775,-999.25,-999.25,
118.5,3.37,0.547,-999.25,147.02,-0.032,9.09,0.387,5.96,1.775,-999.25,-999.25,
119,3.39,0.548,-999.25,147.29,-0.031,9.13,0.388,5.96,1.772,-999.25,-999.25,
119.5,3.42,0.545,-999.25,156.03,-0.032,9.11,0.386,5.96,1.778,-999.25,-999.25,
120,3.37,0.543,-999.25,154.3,-0.042,9.09,0.385,5.96,1.782,-999.25,-999.25,
120.5,3.37,0.539,-999.25,142.84,-0.038,9.1,0.382,5.96,1.789,-999.25,-999.25,
121,3.39,0.539,-999.25,136.19,-0.032,9.15,0.382,5.96,1.788,-999.25,-999.25,
121.5,3.37,0.536,-999.25,123.1,-0.027,9.19,0.379,5.96,1.793,-999.25,-999.25,
122,3.39,0.537,-999.25,121.66,-0.035,9.25,0.381,5.96,1.792,-999.25,-999.25,
122.5,3.39,0.538,-999.25,120.8,-0.037,9.28,0.381,5.96,1.791,-999.25,-999.25,
123,3.42,0.539,-999.25,129.96,-0.03,9.26,0.382,5.96,1.788,-999.25,-999.25,
123.5,3.39,0.537,-999.25,137.03,-0.034,9.22,0.38,5.96,1.792,-999.25,-999.25,
124,3.39,0.532,-999.25,133.93,-0.033,9.2,0.377,5.96,1.8,-999.25,-999.25,
124.5,3.37,0.53,-999.25,121.41,-0.034,9.18,0.376,5.96,1.803,-999.25,-999.25,
125,3.37,0.525,-999.25,118.71,-0.033,9.15,0.372,5.96,1.812,-999.25,-999.25,
125.5,3.39,0.526,-999.25,116.69,-0.03,9.14,0.373,5.96,1.811,-999.25,-999.25,
126,3.39,0.528,-999.25,130.23,-0.032,9.13,0.374,5.96,1.807,-999.25,-999.25,
126.5,3.37,0.53,-999.25,129.39,-0.039,9.1,0.376,5.96,1.804,-999.25,-999.25,
127,3.37,0.529,-999.25,134.45,-0.033,9.08,0.375,5.96,1.805,-999.25,-999.25,
127.5,3.39,0.525,-999.25,122.23,-0.036,9.11,0.372,5.96,1.813,-999.25,-999.25,
128,3.39,0.527,-999.25,129.3,-0.036,9.13,0.374,5.96,1.808,-999.25,-999.25,
128.5,3.39,0.532,-999.25,119.99,-0.039,9.14,0.377,5.96,1.8,-999.25,-999.25,
129,3.37,0.536,-999.25,117.66,-0.029,9.1,0.38,5.96,1.793,-999.25,-999.25,
129.5,3.39,0.538,-999.25,112.94,-0.035,9.12,0.381,5.96,1.789,-999.25,-999.25,
130,3.39,0.539,-999.25,118.21,-0.038,9.14,0.382,5.96,1.789,-999.25,-999.25,
130.5,3.39,0.544,-999.25,118,-0.03,9.18,0.385,5.96,1.779,-999.25,-999.25,
131,3.39,0.55,-999.25,110.47,-0.029,9.19,0.389,5.96,1.769,-999.25,-999.25,
131.5,3.39,0.55,-999.25,116.38,-0.034,9.46,0.391,5.96,1.766,-999.25,-999.25,
132,3.37,0.55,-999.25,121.98,-0.04,9.73,0.401,5.96,1.744,-999.25,-999.25,
132.5,3.37,0.55,-999.25,125.86,-0.038,9.9,0.405,5.96,1.733,-999.25,-999.25,
133,3.39,0.55,-999.25,120.18,-0.037,9.75,0.397,5.96,1.752,-999.25,-999.25,
133.5,3.37,0.513,-999.25,118.1,-0.03,9.75,0.363,5.96,1.833,-999.25,-999.25,
134,3.39,0.473,-999.25,126.52,-0.036,9.85,0.335,5.96,1.9,-999.25,-999.25,
134.5,3.37,0.466,-999.25,123.08,-0.036,9.98,0.33,5.96,1.913,-999.25,-999.25,
135,3.37,0.485,-999.25,124.96,-0.032,9.97,0.344,5.96,1.88,-999.25,-999.25,
135.5,3.37,0.485,-999.25,110.61,-0.042,9.9,0.344,5.96,1.881,-999.25,-999.25,
136,3.39,0.448,-999.25,108.59,-0.037,9.77,0.318,5.96,1.944,-999.25,-999.25,
136.5,3.37,0.451,-999.25,106.81,-0.015,9.53,0.319,5.96,1.939,-999.25,-999.25,
137,3.39,0.475,-999.25,124.06,-0.028,9.25,0.336,5.96,1.898,-999.25,-999.25,
137.5,3.37,0.525,-999.25,132.56,-0.04,9.11,0.372,5.96,1.812,-999.25,-999.25,
138,3.42,0.516,-999.25,135.33,-0.039,9.1,0.366,5.96,1.827,-999.25,-999.25,
138.5,3.37,0.512,-999.25,129.9,-0.033,9.18,0.363,5.96,1.835,-999.25,-999.25,
139,3.37,0.508,-999.25,134.6,-0.031,9.19,0.36,5.96,1.842,-999.25,-999.25,
139.5,3.42,0.52,-999.25,133.52,-0.035,9.2,0.369,5.96,1.821,-999.25,-999.25,
140,3.42,0.523,-999.25,132.01,-0.036,9.24,0.371,5.96,1.816,-999.25,-999.25,
140.5,3.39,0.526,-999.25,129.32,-0.031,9.27,0.373,5.96,1.811,-999.25,-999.25,
141,3.39,0.523,-999.25,124.55,-0.034,9.25,0.371,5.96,1.816,-999.25,-999.25,
141.5,3.39,0.516,-999.25,124,-0.031,9.18,0.366,5.96,1.828,-999.25,-999.25,
142,3.39,0.51,-999.25,114.66,-0.03,9.3,0.361,5.96,1.837,-999.25,-999.25,
142.5,3.39,0.507,-999.25,116.9,-0.036,9.52,0.359,5.96,1.843,-999.25,-999.25,
143,3.37,0.506,-999.25,121.7,-0.038,9.73,0.359,5.96,1.844,-999.25,-999.25,
143.5,3.37,0.505,-999.25,126.47,-0.036,9.76,0.358,5.96,1.847,-999.25,-999.25,
144,3.39,0.5,-999.25,133.92,-0.039,9.62,0.355,5.96,1.855,-999.25,-999.25,
